name,constit,party1,pw_name,party2,party_change,by_elec,cl_wikidataid,cl_pageid,cl_wikititle,iraq_inv,iraq_inv_source,iraq_inv_link,party3
Alan Johnson,Kingston upon Hull West and Hessle,Lab,Alan Johnson,,0,0,Q332336,420600,Alan_Johnson,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Alan Keen,Feltham and Heston,Lab,Alan Keen,,0,0,Q4707031,427615,Alan_Keen,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Alan Meale,Mansfield,Lab,Alan Meale,,0,0,Q583946,434919,Alan_Meale,Pro Invasion,Alan Meale voted against requiring the support of the UN Security Council and the support of a vote of MPs in the House of Commons before the commitment of UK forces to military action in Iraq.,https://www.theyworkforyou.com/divisions/pw-2002-11-25-6-commons/mp/10428,Labour
Alan Milburn,Darlington,Lab,Alan Milburn,,0,0,Q333459,244577,Alan_Milburn,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Alan Reid,Argyll and Bute,LDem,Alan Reid,,0,0,Q574847,434892,Alan_Reid_(politician),Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
Alan Simpson,Nottingham South,Lab,Alan Simpson,,0,0,Q4707771,415117,Alan_Simpson_(British_politician),Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Alan Whitehead,"Southampton, Test",Lab,Alan Whitehead,,0,0,Q264585,434973,Alan_Whitehead,Against Invasion,"But of course, we might, despite all this come up against a scenario that the United States declares that it has lost patience with the procedures of the United Nations, and wants to go it alone. It might then invite the UK to join in. What should we do? Well quite simply we should not join in, for all the reasons I have set out. . . .But if a resolution had been adopted by the Security Council following the final breakdown of attempts at compliance, then I would vote for UK military involvement under the flag of the UN. If I were offered the opportunity to vote for Britain's participation in a solo United States adventure, then I would not vote for it, whip or no whip.",https://web.archive.org/web/20060930044439/http://www.alan-whitehead.org.uk/articles/articles_2003/004.htm,Labour
Alan Williams,Swansea West,Lab,Alan Williams,,0,0,Q337590,414485,Alan_Williams_(Swansea_West_MP),Against Invasion,MPs who voted against Blair. Full list of anti-war MPs in last night's vote. ...Alan Williams,https://www.theguardian.com/politics/2003/mar/19/uk.houseofcommons3,Labour
Albert Owen,Ynys Môn,Lab,Albert Owen,,0,0,Q576121,422823,Albert_Owen,Against Invasion,Albert Owen voted to say that the case for war against Iraq has not yet been established,https://www.publicwhip.org.uk/mp.php?mpid=41537&dmp=1049,Labour
Alex Salmond,Banff and Buchan,SNP,Alex Salmond,,0,0,Q10652,21234593,Alex_Salmond,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
Alice Mahon,Halifax,Lab,Mrs Alice Mahon,,0,0,Q4725980,415141,Alice_Mahon,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Alistair Burt,North East Bedfordshire,Con,Alistair Burt,,0,0,Q270009,414830,Alistair_Burt,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Alistair Carmichael,Orkney and Shetland,LDem,Alistair Carmichael,,0,0,Q269124,434894,Alistair_Carmichael,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
Alistair Darling,Edinburgh Central,Lab,Alistair Darling,,0,0,Q296639,352652,Alistair_Darling,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Alun Michael,Cardiff South and Penarth,Lab,Alun Michael,,0,0,Q19397,414474,Alun_Michael,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Andrew Bennett,Denton and Reddish,Lab,Mr Andrew Bennett,,0,0,Q4756329,414621,Andrew_Bennett_(politician),Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Andrew Dismore,Hendon,Lab,Andrew Dismore,,0,0,Q338076,420186,Andrew_Dismore,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Andrew George,St Ives,LDem,Andrew George,,0,0,Q391275,426652,Andrew_George_(politician),Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
Andrew Hunter,Basingstoke,Con,Mr Andrew Hunter,Independent,1,0,Q4757371,1888131,Andrew_Hunter_(British_politician),Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Andrew Lansley,South Cambridgeshire,Con,Andrew Lansley,,0,0,Q333276,428591,Andrew_Lansley,Pro Invasion,Lord Lansley generally voted for the Iraq war,https://www.theyworkforyou.com/peer/10349/lord_lansley/divisions?policy=1049,Conservative
Andy Love,Edmonton,Lab,Andrew Love,,0,0,Q695217,428660,Andy_Love,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Andrew MacKay,Bracknell,Con,Andrew MacKay,,0,0,Q4757838,414506,Andrew_MacKay,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Andrew Mackinlay,Thurrock,Lab,Andrew MacKinlay,,0,0,Q4757839,434723,Andrew_MacKinlay,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Andrew Miller,Ellesmere Port and Neston,Lab,Andrew Miller,,0,0,Q580927,435624,Andrew_Miller_(politician),Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Andrew Mitchell,Sutton Coldfield,Con,Andrew Mitchell,,0,0,Q333261,435638,Andrew_Mitchell,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Andrew Murrison,Westbury,Con,Andrew Murrison,,0,0,Q578234,435637,Andrew_Murrison,Against Invasion,Andrew Murrison voted to say that the case for war against Iraq has not yet been established,https://www.theyworkforyou.com/mp/11132/andrew_murrison/south_west_wiltshire/divisions?policy=1049,Conservative
Andrew Robathan,Blaby,Con,Andrew Robathan,,0,0,Q501089,449376,Andrew_Robathan,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Andrew Rosindell,Romford,Con,Andrew Rosindell,,0,0,Q480092,352741,Andrew_Rosindell,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Andrew Selous,South West Bedfordshire,Con,Andrew Selous,,0,0,Q478714,450363,Andrew_Selous,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Andrew Smith,Oxford East,Lab,Andrew Smith,,0,0,Q334296,410153,Andrew_Smith_(British_politician),Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Andrew Stunell,Hazel Grove,LDem,Andrew Stunell,,0,0,Q328626,450511,Andrew_Stunell,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
Andrew Turner,Isle of Wight,Con,Andrew Turner,,0,0,Q272155,450314,Andrew_Turner_(politician),Against Invasion,Andrew Turner voted to say that the case for war against Iraq has not yet been established,https://www.theyworkforyou.com/mp/11291/andrew_turner/isle_of_wight/divisions?policy=1049,Conservative
Andrew Tyrie,Chichester,Con,Andrew Tyrie,,0,0,Q272008,450334,Andrew_Tyrie,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Andy Burnham,Leigh,Lab,Andy Burnham,,0,0,Q269909,414818,Andy_Burnham,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Andy King,Rugby and Kenilworth,Lab,Mr Andy King,,0,0,Q4760898,427661,Andy_King_(British_politician),Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Andy Reed,Loughborough,Lab,Andy Reed,,0,0,Q4761216,449373,Andy_Reed_(politician),Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Angela Browning,Tiverton and Honiton,Con,Angela Browning,,0,0,Q532347,414762,Angela_Browning,Pro Invasion,"MP Angela Browning backed the Prime Minister's ""one last chance"" vote in the House of Commons on Wednesday",https://www.somersetcountygazette.co.uk/news/7197098.mp-backs-war-with-iraq/,Conservative
Angela Eagle,Wallasey,Lab,Angela Eagle,,0,0,Q302763,420127,Angela_Eagle,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Angela Smith,Basildon,Lab,Angela Smith,,0,0,Q168606,450448,"Angela_Smith,_Baroness_Smith_of_Basildon",Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Angela Watkinson,Upminster,Con,Angela Watkinson,,0,0,Q263653,434965,Angela_Watkinson,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Angus Robertson,Moray,SNP,Angus Robertson,,0,0,Q480184,434896,Angus_Robertson,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
Ann Clwyd,Cynon Valley,Lab,Ann Clwyd,,0,0,Q285249,413890,Ann_Clwyd,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Ann Coffey,Stockport,Lab,Ann Coffey,,0,0,Q286043,419412,Ann_Coffey,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Ann Cryer,Keighley,Lab,Ann Cryer,,0,0,Q4766346,415027,Ann_Cryer,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Ann Keen,Brentford and Isleworth,Lab,Ann Keen,,0,0,Q4766483,427617,Ann_Keen,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Ann McKechin,Glasgow Maryhill,Lab,Ann McKechin,,0,0,Q3411330,434721,Ann_McKechin,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Ann Taylor,Dewsbury,Lab,Mrs Ann Taylor,,0,0,Q332843,414491,"Ann_Taylor,_Baroness_Taylor_of_Bolton",Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Ann Widdecombe,Maidstone and The Weald,Con,Ann Widdecombe,,0,0,Q298846,2422,Ann_Widdecombe,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Ann Winterton,Congleton,Con,Ann Winterton,,1,0,Q337529,416054,Ann_Winterton,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Annabelle Ewing,Perth,SNP,Ms Annabelle Ewing,,0,0,Q564093,417697,Annabelle_Ewing,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
Anne Begg,Aberdeen South,Lab,Anne Begg,,0,0,Q260876,414612,Anne_Begg,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Anne Campbell,Cambridge,Lab,Mrs Anne Campbell,,0,0,Q4768207,419351,Anne_Campbell,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Anne McGuire,Stirling,Lab,Anne McGuire,,0,0,Q584320,434717,Anne_McGuire,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Anne McIntosh,Vale of York,Con,Anne McIntosh,,0,0,Q544947,434718,Anne_McIntosh,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Anne Picking,East Lothian,Lab,Mrs Anne Picking,,0,0,Q4768656,433774,Anne_Moffat,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Annette Brooke,Mid Dorset and North Poole,LDem,Annette Brooke,,0,0,Q265190,414723,Annette_Brooke,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
Anthony David Wright,Great Yarmouth,Lab,Anthony D Wright,,0,0,Q337556,435000,Tony_Wright_(Great_Yarmouth_MP),Against Invasion,Tony Wright voted to say that the case for war against Iraq has not yet been established,https://www.theyworkforyou.com/mp/10656/tony_wright/cannock_chase/divisions?policy=1049,Labour
Anthony Steen,Totnes,Con,Anthony Steen,,0,0,Q4773519,450481,Anthony_Steen,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Archie Norman,Tunbridge Wells,Con,Mr Archie Norman,,0,0,Q2860158,414995,Archie_Norman,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Archy Kirkwood,Roxburgh and Berwickshire,LDem,Mr Archy Kirkwood,,0,0,Q636368,427664,Archy_Kirkwood,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
Ashok Kumar,Middlesbrough South and East Cleveland,Lab,Ashok Kumar,,0,0,Q4805749,427679,Ashok_Kumar_(British_politician),Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Austin Mitchell,Great Grimsby,Lab,Austin Mitchell,,0,0,Q334325,415105,Austin_Mitchell,Pro Invasion,Austin Mitchell voted to endorse UN Security Council resolution 1441 giving Iraq a final opportunity to comply with its disarmament obligations,https://www.theyworkforyou.com/divisions/pw-2003-02-26-97-commons/mp/10436,Labour
Barbara Follett,Stevenage,Lab,Barbara Follett,,0,0,Q660827,421630,Barbara_Follett_(politician),Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Barbara Roche,Hornsey and Wood Green,Lab,Mrs Barbara Roche,,0,0,Q4859256,449416,Barbara_Roche,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Barry Gardiner,Brent North,Lab,Barry Gardiner,,0,0,Q391169,416906,Barry_Gardiner,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Barry Sheerman,Huddersfield,Lab,Barry Sheerman,,0,0,Q477464,450368,Barry_Sheerman,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Ben Bradshaw,Exeter,Lab,Ben Bradshaw,,0,0,Q264618,221182,Ben_Bradshaw,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Ben Chapman,Wirral South,Lab,Ben Chapman,,0,0,Q4885414,419366,Ben_Chapman_(politician),Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Bernard Jenkin,North Essex,Con,Bernard Jenkin,,0,0,Q727852,427366,Bernard_Jenkin,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Betty Williams,Conwy,Lab,Betty Williams,,0,0,Q4899014,434978,Betty_Williams_(politician),Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Beverley Hughes,Stretford and Urmston,Lab,Beverley Hughes,,0,0,Q775059,420562,Beverley_Hughes,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Bill Cash,Stone,Con,Bill Cash,,0,0,Q269449,360028,Bill_Cash,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Bill Etherington,Sunderland North,Lab,Bill Etherington,,0,0,Q4908918,415154,Bill_Etherington,Against Invasion,Bill Etherington voted to say that the case for war against Iraq has not yet been established,https://www.theyworkforyou.com/mp/10189/bill_etherington/sunderland_north/divisions?policy=1049,Labour
Bill O'Brien,Normanton,Lab,Mr Bill O'Brien,,0,0,Q4910369,422801,Bill_O'Brien_(British_politician),Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Bill Olner,Nuneaton,Lab,Bill Olner,,0,0,Q4910396,422806,Bill_Olner,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Bill Rammell,Harlow,Lab,Bill Rammell,,0,0,Q767696,449360,Bill_Rammell,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Bill Tynan,Hamilton South,Lab,Mr Bill Tynan,,0,0,Q4911199,450332,Bill_Tynan,Against Invasion,Mr Bill Tynan voted to say that the case for war against Iraq has not yet been established,https://www.theyworkforyou.com/mp/10671/bill_tynan/hamilton_south/divisions?policy=1049,Labour
Bill Wiggin,Leominster,Con,Bill Wiggin,,0,0,Q265900,429879,Bill_Wiggin,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Bob Ainsworth,Coventry North East,Lab,Bob Ainsworth,,0,0,Q258738,413962,Bob_Ainsworth,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Bob Blizzard,Waveney,Lab,Bob Blizzard,,0,0,Q4931857,414672,Bob_Blizzard,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Bob Laxton,Derby North,Lab,Bob Laxton,,0,0,Q4933126,428602,Bob_Laxton,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Bob Russell,Colchester,LDem,Bob Russell,,0,0,Q479081,449464,Bob_Russell_(British_politician),Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
Bob Spink,Castle Point,Con,Bob Spink,,0,0,Q4934055,450466,Bob_Spink,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Boris Johnson,Henley,Con,Boris Johnson,,0,0,Q180589,19065069,Boris_Johnson,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Brian Cotter,Weston-Super-Mare,LDem,Mr Brian Cotter,,0,0,Q334520,419494,"Brian_Cotter,_Baron_Cotter",Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
Brian Donohoe,Cunninghame South,Lab,Brian H Donohoe,,0,0,Q300308,420198,Brian_Donohoe,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Brian Iddon,Bolton South East,Lab,Brian Iddon,,0,0,Q4964132,415019,Brian_Iddon,Against Invasion,Brian Iddon voted to say that the case for war against Iraq has not yet been established,https://www.theyworkforyou.com/mp/10304/brian_iddon/bolton_south_east/divisions?policy=1049,Labour
Brian Jenkins,Tamworth,Lab,Brian Jenkins,,0,0,Q4964202,6050394,Brian_Jenkins_(politician),Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Brian Mawhinney,North West Cambridgeshire,Con,Dr Brian Mawhinney,,0,0,Q333410,413169,Brian_Mawhinney,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Brian Sedgemore,Hackney South and Shoreditch,Lab,Mr Brian Sedgemore,,0,0,Q4965250,450357,Brian_Sedgemore,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Brian White,North East Milton Keynes,Lab,Mr Brian White,,0,0,Q4965623,434971,Brian_White_(British_politician),Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Brian Wilson,Cunninghame North,Lab,Mr Brian Wilson,,0,0,Q338231,450981,Brian_Wilson_(Labour_politician),Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Bridget Prentice,Lewisham East,Lab,Bridget Prentice,,0,0,Q4966745,433859,Bridget_Prentice,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Bruce George,Walsall South,Lab,Bruce George,,0,0,Q4977546,414004,Bruce_George,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Calum MacDonald,Na h-Eileanan an Iar,Lab,Mr Calum MacDonald,,0,0,Q5024038,434710,Calum_MacDonald_(politician),Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Candy Atherton,Falmouth and Camborne,Lab,Ms Candy Atherton,,0,0,Q337833,413988,Candy_Atherton,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Caroline Flint,Don Valley,Lab,Caroline Flint,,0,0,Q251095,420234,Caroline_Flint,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Caroline Spelman,Meriden,Con,Caroline Spelman,,0,0,Q332954,429874,Caroline_Spelman,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Charles Clarke,Norwich South,Lab,Charles Clarke,,0,0,Q333758,304386,Charles_Clarke,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Charles Hendry,Wealden,Con,Charles Hendry,,0,0,Q673765,434635,Charles_Hendry,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Charles Kennedy,"Ross, Skye and Inverness West",LDem,Charles Kennedy,,0,0,Q332950,26598741,Charles_Kennedy,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
